file,sha256,perceptual_hash,crop,condition,source_dataset,source_url,license,original_filename,environment,split
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0000.jpg,3bf0d0f8addd751555de377c451ad6f84c54d61c9b309079f76943d03e3f44dd,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0000.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0001.jpg,bb37ca3ed6ba35f64007038b152e28a7e0102b4c5c58735f0b19d5a6c43a3628,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0001.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0002.jpg,0bc66d71b5eb377ea4aba0afc413a76dfe99353ceb487e39a2d2558fcb42bc00,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0002.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0003.jpg,b325542e4f0f52ea2fc227c5755b46848db2966e719e941b2e35130232ae6925,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0003.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0004.jpg,7ab66624617c34b7c78c23bcd04ac9e27a5827db07ebc1aa360f154a646823e4,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0004.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0005.jpg,e2835d4a7429cb3ca92313c83f0d4177e6cbe224b23d8d4046ac36fb7bbe7613,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0005.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0006.jpg,e5a94a546adabd5f1442575b20ca062566177e64e8edaf7dab4f053fbb1ec3f4,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0006.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0007.jpg,9d58caafb62212282be70d2112ceaa6312d738a91eb8cc8812b020cefd7bfcea,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0007.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0008.jpg,83f619570b592a03b9135ad648269930875baca5d31a925b167515dbb567493b,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0008.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0009.jpg,f7db03728acababd7162ab6579ef9acf32712ec30f091b98f5e1eb980cdfa488,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0009.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0010.jpg,d9328b781814dd74f26b993e9c137c6e9b55b7461002b69e1c1725d2f5996d5f,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0010.jpg,field,train
Tomato___Bacterial_spot/Tomato___Bacterial_spot_scale_0011.jpg,50c3d2f38ef1ab54ad305a1d7d9f031898fb5f58af392af7351d2918548b228c,0000000001111110011111100111111001111110011111100111111000000000,Tomato,Bacterial Spot,PlantVillage/Zenodo,https://doi.org/10.5281/zenodo.5562723,CC BY-SA 4.0,Tomato___Bacterial_spot_raw_0011.jpg,field,train
