sha256,file,crop,condition,source_dataset,duplicate_group,action
8d82d39b108550940a7e48e2511ed9e284dadc60c3b23ff22cbe7ff757bcf2bb,D:\Development\Projects\project\dataset_6crop\Pumpkin-Bacterial Leaf Spot\Pumpkin-Bacterial Leaf Spot_real_002.jpg,Pumpkin,Pumpkin-Bacterial Leaf Spot,Zenodo Cucurbit Repo,8d82d39b1085,CROSS_CROP_CONFLICT
4b1565013d8be6699923a6b078bbc3c58c0073256d4a0050024d390117842d9a,D:\Development\Projects\project\dataset_6crop\Pumpkin-Bacterial Leaf Spot\Pumpkin-Bacterial Leaf Spot_real_032.jpg,Pumpkin,Pumpkin-Bacterial Leaf Spot,Zenodo Cucurbit Repo,4b1565013d8b,CROSS_CROP_CONFLICT
e55eb63001e66d67141327b32097e6db6f18cd3d9ae466d70ceb9e38b3dd1fce,D:\Development\Projects\project\dataset_6crop\Rice-Bacterialblight\Rice-Bacterialblight_real_001.jpg,Rice,Rice-Bacterialblight,UCI Rice Repository,e55eb63001e6,CROSS_CROP_CONFLICT
8a03cd75d5c3acdbf3942c08200cb93583244767d775503737d78e3965034794,D:\Development\Projects\project\dataset_6crop\Rice-Bacterialblight\Rice-Bacterialblight_real_017.jpg,Rice,Rice-Bacterialblight,UCI Rice Repository,8a03cd75d5c3,CROSS_CROP_CONFLICT
cd12b8d3d65dc3f176516e69aacd04dbc2d328f0af7b995be36eb056df02d5fd,D:\Development\Projects\project\dataset_6crop\Rice-Brownspot\Rice-Brownspot_img_006.jpg,Rice,Rice-Brownspot,UCI Rice Repository,cd12b8d3d65d,CROSS_CLASS_CONFLICT
a28b75c2e237cf8de491c45a489454468dfc9d613887199ed71ac9a0436077c7,D:\Development\Projects\project\dataset_6crop\Rice-Leafsmut\Rice-Leafsmut_real_022.jpg,Rice,Rice-Leafsmut,UCI Rice Repository,a28b75c2e237,CROSS_CLASS_CONFLICT
b3bc52cc52796d5c237437e33b5199a1c5371381ed008d70aa825563a8a0262c,D:\Development\Projects\project\dataset_6crop\Sugarcane-Mosaic\Sugarcane-Mosaic_real_005.jpg,Sugarcane,Sugarcane-Mosaic,Mendeley Sugarcane Dataset,b3bc52cc5279,CROSS_CROP_CONFLICT
b7ee626f58c15c37786b22dca91ca68f148ae13466f6974cd2a40cf06a04b267,D:\Development\Projects\project\dataset_6crop\Sugarcane-Red Leaf Spot\Sugarcane-Red Leaf Spot_real_052.jpg,Sugarcane,Sugarcane-Red Leaf Spot,Mendeley Sugarcane Dataset,b7ee626f58c1,CROSS_CROP_CONFLICT
c232c3a084517bc6391d4cb0900b126a8d18c5cdd56342f25b35621760745a89,D:\Development\Projects\project\dataset_6crop\Tomato___Bacterial_spot\Tomato___Bacterial_spot_real_008.jpg,Tomato,Tomato___Bacterial_spot,PlantVillage/Zenodo,c232c3a08451,CROSS_CROP_CONFLICT
2d5961b69fc2e4385568d26210aa1d0f445404d3810bf5eaa0819bf922566067,D:\Development\Projects\project\dataset_6crop\Tomato___Bacterial_spot\Tomato___Bacterial_spot_real_041.jpg,Tomato,Tomato___Bacterial_spot,PlantVillage/Zenodo,2d5961b69fc2,CROSS_CROP_CONFLICT
