perceptual_hash,file,condition,assigned_split,action
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_001.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_002.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_004.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_005.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_006.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_007.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_009.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_010.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_012.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_013.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_014.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_017.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_018.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_021.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_022.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_024.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_025.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_026.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_027.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_028.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_029.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_030.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_031.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_032.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_033.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_034.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_035.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100001111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_036.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_037.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100011111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_038.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000000111100001111100111111001111110011111100011110000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_img_039.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000001111110011111100111111001111110011111100111111000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_real_001.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000001111110011111100111111001111110011111100111111000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_real_002.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
0000000001111110011111100111111001111110011111100111111000000000,D:\Development\Projects\project\dataset_6crop\Maize___Common_Rust\Maize___Common_Rust_real_003.jpg,Maize___Common_Rust,train,FORCE_SAME_SPLIT_GROUP
